business_name,total_reviews,reviews_with_text,avg_rating,pct_positive,pct_neutral,pct_negative,top_topic_1,top_topic_2,top_topic_3,high_urgency_count,actionable_count
MADE,150,75,4.5,87.9,1.6,10.5,Stylists & Staff,Haircut & Styling,Overall Experience,6,100
MRE Estilistas Nueva Cordoba Peluquería,150,124,3.7,61.6,0.5,37.9,Stylists & Staff,Color & Chemical Treatments,Haircut & Styling,48,185
Peluqueria SCISSOR’s estudio,97,70,4.8,96.6,0.0,3.4,Stylists & Staff,Haircut & Styling,Facilities & Ambiance,4,108
