review_id,business_name,stars,date,text,reviewer_reviews_count,is_local_guide,likes_count,source,review_context_raw
Ci9DQUlRQUNvZENodHljRjlvT2xKR1FpMVFZVWhuUm1nMlVHUm1hMFppUWpORVNVRRAB,IDA Restaurant Bar,5,2026-04-11T02:34:05.034Z,Muy rica la comida y los mozos siempre muy atentos 🙌,5,False,0,google_maps,"{""Tipo de comida"": ""Cena"", ""Precio por persona"": ""$30,000-40,000"", ""Nivel de ruido"": ""Ruidoso, pero se puede hablar"", ""Eventos especiales"": ""Ningún evento especial""}"
Ci9DQUlRQUNvZENodHljRjlvT2xkU2R6RTRlVmhRYld4dU1rbG5OM2xZYjNCcExXYxAB,IDA Restaurant Bar,5,2026-04-11T02:31:56.035Z,"Comida, atención y ambiente excelentes. Es para volver y volver y volver…",3,False,0,google_maps,"{""Tipo de comida"": ""Cena"", ""Precio por persona"": ""$70,000-80,000"", ""Eventos especiales"": ""Música en vivo""}"
Ci9DQUlRQUNvZENodHljRjlvT25WMGFGcGhNMlJXZUZWQlJuZzFibXhpYVRaU2NHYxAB,IDA Restaurant Bar,5,2026-04-11T02:19:09.420Z,"Un ambiente ideal para venir en pareja, exelente música, comida exquisita, muy buena atención ..Muy recomendable",5,False,0,google_maps,"{""Tipo de comida"": ""Cena"", ""Precio por persona"": ""$40,000-50,000"", ""Nivel de ruido"": ""Ruido moderado"", ""Eventos especiales"": ""Otros""}"
Ci9DQUlRQUNvZENodHljRjlvT25CQ1kxRldVa3BoV2xSbFQxRmtOR1F5VDJFeU1GRRAB,IDA Restaurant Bar,5,2026-04-05T05:29:42.976Z,Muy buena gastronomía . Hermoso  lugar.  Muy atentos ! 👏🏻👏🏻,7,False,0,google_maps,{}
Ci9DQUlRQUNvZENodHljRjlvT21sNmVVYzRibDh6ZGxGRFUyZExPWFY1TVVadmJXYxAB,IDA Restaurant Bar,5,2026-03-31T02:42:19.298Z,,0,False,0,google_maps,{}
Ci9DQUlRQUNvZENodHljRjlvT2paSE9UWmxPVzUwVm1OZlprOXBiRW96VmpaZk4zYxAB,IDA Restaurant Bar,5,2026-03-31T02:17:54.323Z,"Comimos muy muy rico, la atención fue un 10 ♥️",3,False,0,google_maps,"{""Tipo de comida"": ""Cena"", ""Precio por persona"": ""$70,000-80,000"", ""Nivel de ruido"": ""Silencioso, agradable para conversar"", ""Tamaño del grupo"": ""Apto para grupos de todos los tamaños""}"
Ci9DQUlRQUNvZENodHljRjlvT2pacmFFWmlNMDVMYzIxb1gybHBNMjFTUjBNeVdXYxAB,IDA Restaurant Bar,5,2026-03-28T03:15:34.703Z,Excelente Atención y ambiente. La comida riquísima. Y el mozo Elvio súper atento!!!  Súper recomendable.,11,False,0,google_maps,"{""Tipo de comida"": ""Cena"", ""Precio por persona"": ""$70,000-80,000"", ""Nivel de ruido"": ""Muy silencioso"", ""Tamaño del grupo"": ""2 personas"", ""Platos vegetarianos"": ""Carta variada"", ""Restricciones de dieta"": ""Ninguna"", ""Espacios para estacionar"": ""Hay suficiente espacio"", ""Opciones de estacionamiento"": ""Estacionamiento gratuito"", ""Estacionamiento"": ""Excelente ubicación"", ""Adecuado para niños"": ""Si"", ""Accesibilidad en silla de ruedas"": ""Si""}"
Ci9DQUlRQUNvZENodHljRjlvT2s1aWNUTm1hM0JUUTNBMlExaEhNME5xU1Y5TVluYxAB,IDA Restaurant Bar,5,2026-03-28T02:58:46.848Z,Excelente atencion,5,False,0,google_maps,"{""Tipo de comida"": ""Cena"", ""Precio por persona"": ""Más de $100,000"", ""Nivel de ruido"": ""Ruido moderado"", ""Tamaño del grupo"": ""2 personas""}"
Ci9DQUlRQUNvZENodHljRjlvT2xoRVRpMUZiMUJxVUZoUk1raGpjVGxhVmkxTWNGRRAB,IDA Restaurant Bar,5,2026-03-27T23:10:24.948Z,,1,False,0,google_maps,"{""Tipo de pedido"": ""Consumo en el lugar"", ""Tipo de comida"": ""Brunch"", ""Precio por persona"": ""$10,000-20,000"", ""Nivel de ruido"": ""Silencioso, agradable para conversar""}"
Ci9DQUlRQUNvZENodHljRjlvT2xjM01uZ3hjazFTYWxZMVJXaFdNVnB0VUhkTlUxRRAB,IDA Restaurant Bar,5,2026-03-27T02:16:55.036Z,,1,False,0,google_maps,"{""Precio por persona"": ""Más de $100,000"", ""Nivel de ruido"": ""Ruidoso, pero se puede hablar"", ""Eventos especiales"": ""Ningún evento especial""}"
