business_name,total_reviews,reviews_with_text,avg_rating,pct_positive,pct_neutral,pct_negative,top_topic_1,top_topic_2,top_topic_3,high_urgency_count,actionable_count
El Mesón de Gauss,50,30.0,3.6,50.0,1.6,48.4,Food Quality,Staff Attitude,Ambiance,5.0,60
IDA Restaurant Bar,102,54.0,4.4,76.3,0.8,22.9,Food Quality,Staff Attitude,Ambiance,6.0,113
Mitica,51,41.0,4.6,84.3,1.2,14.5,Staff Attitude,Food Quality,Ambiance,0.0,80
The Meson of Gauss,1,,2.0,,,,,,,,
Vittorio Ristorante,50,33.0,4.6,90.6,0.0,9.4,Food Quality,Staff Attitude,Ambiance,2.0,61
